僲	亻 覀 舛
㔆	朁 刂 
㔇	發 刂 
㔊	亶 刂 
㔋	監 刂 
㔌	聚 刂 
㔍	算 刂 
㔎	辥 刀 
㔏	磊 刂 
㔑	薛 刀 
㔒	巂 刂 
㔖	加 ㇕ 
㔛	吉 力 
㔜	孚 力 
㔝	兩 力 
㔞	乖 力 
㔠	曷 力 
㔡	𣬉 力 
㔢	絶 力 
㔣	畾 力 
㔤	審 力 
㔥	罷 力 
㔦	養 力 
㔧	盧 力 
㔨	勹 背 
㔪	勹 鹵 
㔭	匕 是 
㔮	𦰩 能 
㔯	匚 㕣 
㔰	匚 外 
㔱	匚 臾 
㔳	匚 飢 
㔴	匚 異 
㔵	匚 巽 
㔶	匚 贛 
㔷	匚 丙 
㔸	匚 虒 
㔺	十 十 十 
㔼	推 十 
㔽	⺊ 回 
㕁	𠫤 卩 
㕏	厂 㪷 
㕐	厂 舄 
㕒	厂 義 
㕖	厽 木 
㕗	羑 厶 
㕘	厽 尒 
㕙	夋 兔 
㕜	中 又 
㕞	𡰯 又 
㕟	⺊ 𠕁 又 
㕠	准 又 
㕡	𣦻 谷 
㕢	𣦻 貝 
㕾	小 叱 
㖁	口 𠫤 
㖐	吅 尹 
㖤	口 函 
㖥	口 囷 
㖦	口 東 
㖧	口 昏 
㖨	口 录 
㖩	口 取 
㖪	口 或 
㖫	口 夌 
㖮	口 侖 
㖾	吅 屰 
㗀	口 幽 
㗁	口 咢 
㗂	口 省 
㗃	口 昬 
㗄	口 𬙙 
㗇	口 叚 
㗈	口 勇 
㗉	㓞 各 
㗋	口 矦 
㗌	口 室 
㗏	口 歪 
㗑	口 拜 
㗒	口 哀 
㗓	口 追 
㗔	口 虔 
㗕	口 冓 
㗖	口 舀 
㗗	另 卑 
㗘	口 尃 
㗙	口 芻 
㗚	口 栗 
㗛	口 笑 
㗜	口 畜 
㗢	口 動 
㗣	口 帶 
㗤	戚 口 
㗥	口 郭 
㗦	口 聊 
㗧	口 窒 
㗨	殹 口 
㗩	口 習 
㗫	口 祭 
㗬	尚 多 
㗭	口 悉 
㗰	口 從 
㗱	口 集 
㗲	口 畫 
㗳	口 答 
㗴	口 閒 
㗵	口 欻 
㗶	口 發 
㗷	口 宀 𠀎 贝 
㗻	口 過 
㗼	口 業 
㗽	鄉 口 
㗿	口 閜 
㘀	口 䊆 
㘁	口 睪 
㘂	口 慈 
㘃	口 惹 
㘄	口 楞 
㘅	口 銜 
㘆	口 臺 
㘇	口 榮 
㘈	口 疑 
㘉	口 節 
㘊	口 霅 
㘋	口 賢 
㘌	口 劇 
㘍	口 𢧵 
㘐	口 駮 
㘑	口 隷 
㘓	口 闌 
㘔	口 賽 
㘕	口 藍 
㘖	口 顏 
㘗	口 瞿 
㘙	口 嚴 
㘚	口 闞 
㘛	口 龕 
㘜	讎 口 
㘤	囗 淵 
㘥	囗 繇 
㙑	禹 土 
㙒	𤰩 土 
㙔	土 韋 
㙙	浝 土 
㙚	土 𦍌 牛 
㙝	土 脅 
㙞	土 臬 
㙟	土 朗 
㙠	殹 土 
㙡	土 從 
㙢	土 㒼 
㙣	土 張 
㙤	土 虖 
㙥	土 袞 
㙨	土 幾 
㙩	土 尞 
㙪	土 壹 
㙫	土 集 
㙬	猌 土 
㙮	土 答 
㙯	埶 云 
㙰	解 土 
㙱	號 土 
㙲	土 雍 
㙳	土 感 
㙴	土 詹 
㙵	土 㙜 
㙷	土 㬎 
㙸	土 僕 
㙹	土 夢 
㙺	土 匱 
㙻	土 廛 
㙼	土 畾 
㙾	土 學 
㚀	土 戲 
㚁	堯 堯 
㚂	土 囊 
㚃	士 冖 䒑 凶 
㚅	夂 一 生 
㚆	𣅀 夂 
㚉	乃 多 
㚊	多 亥 
㚋	多 周 
㚌	多 果 
㚍	多 貴 
㚏	大 廾 
㚒	大 入 入 
㚔	大 𢆉 
㚕	大 弗 
㚛	大 旨 
㚜	大 或 
㚝	大 佳 
㚞	大 林 
㚟	㲋 大 
㚠	大 羔 
㚢	亻 女 
㚤	女 弋 
㚥	女 于 
㚦	女 丌 
㚧	女 广 
㚨	女 卂 
㚩	女 冄 
㚪	女 毛 
㚫	女 及 
㚬	女 匀 
㚭	女 尤 
㚯	女 风 
㚰	女 丕 
㚱	女 丘 
㚲	女 占 
㚴	女 布 
㚵	女 冬 
㚶	女 㠯 
㚷	女 尒 
㚸	女 司 
㚹	女 卯 
㚺	女 孕 
㚻	田 女 
㚼	女 田 
㚽	巧 女 
㚾	女 兄 
㚿	女 包 
㛁	女 平 
㛂	女 𠂬 
㛄	女 衣 
㛅	女 耳 
㛆	女 朶 
㛊	女 朵 
㛍	女 夾 
㛮	女 叜 
㛳	帝 女 
㛴	女 𡿺 
㛵	女 爯 
㛷	𮂱 女 
㜌	𣪊 女 
㜑	浦 女 
㜕	女 連 
㜘	女 虘 
㜛	女 軟 
㜜	女 敖 
㜝	女 酓 
㜞	斬 女 
㜡	女 從 
㜪	新 女 
㜮	女 監 
㜯	女 熙 
㜰	女 樂 
㜱	女 質 
㜲	女 嬴 
㜳	女 褱 
㜴	女 瞢 
㜵	女 褭 
㜶	女 毚 
㜷	彌 女 
㜸	薛 女 
㜹	女 瞿 
㜻	女 戀 
㜼	女 疊 
㜽	巛 子 
㝄	享 屯 
㝈	䜌 孖 
㝛	宀 𠈇 
㝟	宀 一 見 
㝠	宀 昗 
㝡	宀 取 
㝢	宀 禹 
㝣	宀 契 
㝤	宀 冓 
㝥	宀 爿 米 
㝦	宀 隽 
㝧	安 坐 
㝩	宀 康 
㝪	宀 執 
㝫	宀 隆 
㝬	害 夫 
㝭	宀 惺 
㝮	宀 𠭥 
㝯	宀 喬 
㝰	宀 臱 
㝱	𪧇 夢 
㝴	元 寸 
㝵	旦 寸 
㝶	⺫ 儿 寸 
㝸	小 皃 
㝹	少 兔 
㝺	兼 少 
㝻	堇 少 
㝼	尢 于 
㝽	尢 水 
㝾	尢 左 
㝿	尢 皮 
㞀	尢 灰 
㞁	尢 㫐 
㞂	尢 妥 
㞃	谷 尤 
㞄	尢 奄 
㞅	尢 果 
㞆	尢 奇 
㞇	尢 畏 
㞈	尢 扁 
㞉	尢 差 
㞊	祟 尢 
㞋	尸 又 
㞌	尸 子 
㞎	尸 巴 
㞏	尸 乏 
㞐	尸 立 
㞑	尸 ⺢ 
㞒	尸 自 
㞓	尸 旨 
㞔	尸 多 
㞕	尸 八 月 
㞖	尸 朿 
㞘	尸 豖 
㞙	尾 水 
㞚	尸 臿 
㞛	尸 彳 旨 
㞜	尸 㣦 
㞞	尸 從 
㞟	尸 奠 
㞠	尸 尞 
㞡	尸 㠭 𧘇 
㟅	山 兇 
㟗	山 分 分 
㟘	山 周 
㟙	山 昔 
㟚	枝 山 
㟛	山 拑 
㟜	山 弥 
㟝	山 咅 
㟞	山 戔 
㟟	山 共 㔾 
㟠	山 岡 
㟦	山 軍 
㟧	山 咢 
㟨	山 耑 
㟩	敃 山 
㟬	山 叟 
㟺	山 婁 
㟻	斬 山 
㠆	山 單 
㠈	山 閏 
㠉	山 童 
㠊	山 虚 
㠋	山 品 亏 
㠌	山 欺 
㠍	山 集 
㠎	山 集 
㠐	山 喬 
㠑	山 罪 
㠒	山 剽 
㠔	山 辟 
㠕	山 隗 
㠖	山 義 
㠗	山 奧 
㠘	山 與 
㠙	山 豪 
㠚	山 對 
㠛	山 蒦 
㠜	山 疑 
㠝	山 賛 
㠟	山 黎 
㠠	山 盧 
㠡	山 褭 
㠢	嵬 衣 
㠣	山 歷 
㠥	山 壘 
㠦	山 豐 
㠧	山 靡 
㠨	山 欝 
㠪	工 一 
㡃	巾 㠩 
㡄	巾 旬 
㡅	巾 多 
㡆	巾 巟 
㡇	巾 耴 
㡈	巾 免 
㡉	巾 弦 
㡊	巾 臽 
㡋	巾 奄 
㡌	巾 冐 
㡏	巾 俞 
㡑	秋 巾 
㡒	巾 盾 
㡓	巾 軍 
㡔	敄 巾 
㡕	巾 英 
㡖	巾 重 
㡗	巾 虒 
㡘	巾 兼 
㡙	巾 𣬉 
㡚	巾 冓 
㡛	巾 荒 
㡜	巾 祭 
㡝	巾 逢 
㡞	巾 婁 
㡟	巾 曹 
㡠	巾 登 
㡡	巾 厨 
㡢	巾 日 ⺫ 方 
㡥	巾 㥯 
㡦	巾 賓 
㡧	巾 䆸 
㡨	巾 韱 
㡩	䜌 巾 
㡪	巾 𡖀 
㡫	幺 曷 
㡮	幾 气 
㢎	广 臿 
㢏	广 俞 
㢑	广 隼 
㢒	广 虘 
㢓	广 章 
㢔	广 從 
㢖	广 番 
㢗	广 喬 
㢘	广 𠔥 
㢙	广 勤 
㢚	广 虜 
㢛	广 僉 
㢜	广 廿 思 
㢝	广 穌 
㢞	广 翼 
㢟	廴 止 
㢠	廴 冋 
㢡	將 廾 
㢣	敬 廾 
㢼	弓 㡀 
㢽	弓 弭 
㢾	弓 垔 
㣀	弓 真 
㣁	弓 𤰇 
㣂	弓 鬲 
㣃	弓 育 弓 
㣄	弓 渠 
㣅	弓 朁 
㣆	弓 璽 
㣔	彳 丁 
㣙	彳 由 
㣚	彳 同 
㣛	彳 合 
㣜	彳 刑 
㣝	彳 戎 
㣞	彳 八 允 
㣟	彳 吉 
㣠	彳 丨 冬 
㣢	彳 弟 
㣣	彳 㚒 
㣤	彳 戔 
㣥	彳 侍 
㣦	彳 委 
㣧	彳 𦙌 
㣪	彳 爰 
㣫	彳 重 
㣬	彳 咠 
㣭	彳 㚇 
㣯	彳 屑 
㣰	彳 悉 
㣱	彳 責 
㣵	彳 達 
㣶	彳 亶 
㣷	彳 寧 
㣺	忄 丶 
㣻	乂 心 
㣼	忄 刃 
㣽	女 心 
㣾	忄 叉 
㣿	忄 勺 
㤁	天 心 
㤂	及 心 
㤃	忄 方 
㤄	忄 巿 
㤅	旡 心 
㤆	忄 反 
㤒	忄 夲 
㤓	忄 本 
㤔	忄 付 
㤕	忄 出 
㤖	忄 宁 
㤚	忄 行 
㤛	忄 任 
㤜	忄 戍 
㤝	忄 充 
㤞	忄 宅 
㤟	曲 心 
㤠	列 心 
㤡	忄 列 
㤢	忄 有 
㤥	忄 亥 
㤦	忄 吏 
㤧	忄 后 
㤨	忄 共 
㤩	各 心 
㤪	一 怨 
㤫	有 心 
㤬	忄 圭 
㤮	狂 心 
㤯	忄 冏 
㤰	作 心 
㤱	忄 豆 
㤲	夾 心 
㤳	忄 否 
㤴	忄 耴 
㤵	孜 心 
㤶	忄 尨 
㤷	忄 含 
㤸	忄 赤 
㤹	忄 求 
㤺	忄 巟 
㤽	忄 寿 
㤾	忄 罙 
㤿	忄 奄 
㥀	忄 直 
㥁	𠃊 十 ⺫ 心 
㥂	忄 㝵 
㥅	忄 受 
㥆	忄 隶 
㥇	忄 戔 
㥈	帖 心 
㥉	忄 咅 
㥊	忄 朋 
㥋	依 心 
㥌	忄 匊 
㥍	忄 其 
㥎	𥝢 心 
㥏	忄 典 
㥐	命 心 
㥒	忄 采 
㥓	忄 奇 
㥔	忄 育 
㥕	炎 心 
㥖	丹 忩 
㥚	忄 臾 
㥛	忄 亟 
㥜	忄 胃 
㥝	忄 弭 
㥞	忄 㒸 
㥟	忄 彖 
㥠	忄 胥 
㥡	忄 𣐉 
㥢	忄 酋 
㥣	奎 心 
㥥	忄 禺 
㥦	匧 心 
㥧	忄 頁 
㥨	娃 心 
㥩	忄 者 
㥫	忄 亯 
㥬	忄 旁 
㥭	忄 泰 
㥮	忄 芻 
㥰	忄 叟 
㥱	忄 匪 
㥲	真 心 
㥳	忄 原 
㥴	忄 虒 
㥵	忄 圂 
㥶	𡨄 心 
㥷	广 㤲 
㥸	民 思 
㥹	粉 心 
㥺	忄 盍 
㥼	忄 焉 
㥽	忄 責 
㥾	忄 匿 
㥿	敖 心 
㦀	忄 逢 
㦁	連 心 
㦂	常 心 
㦃	忄 産 
㦄	麻 心 
㦅	忄 帶 
㦆	忄 虖 
㦇	忄 鹿 
㦉	忄 壹 
㦊	忄 華 
㦋	忄 奢 
㦌	毳 心 
㦍	忄 㖾 
㦎	忄 畫 
㦏	忄 巽 
㦑	忄 敢 
㦒	忄 詈 
㦓	忄 然 
㦔	猒 心 
㦕	忄 隆 
㦖	忄 悶 
㦗	忄 禁 
㦘	敫 心 
㦚	辛 心 辛 
㦛	與 心 
㦜	忄 蒦 
㦝	貌 心 
㦞	壽 心 
㦟	貍 心 
㦡	忄 樂 
㦢	忄 節 
㦣	衛 心 
㦤	壹 欠 心 
㦥	忄 憲 
㦦	忄 䦧 
㦧	忄 㬱 
㦨	忄 闌 
㦩	忄 隱 
㦪	忄 燮 
㦫	忄 贊 
㦬	忄 羅 
㦭	忄 靈 
㦯	戈 厶 一 
㦰	戈 从 
㦵	朱 戈 
㦶	戈 至 
㦷	甬 戈 
㦸	卓 戈 
㦹	昜 戈 
㦺	辱 戈 
㦻	習 戈 
㦼	舂 戈 
㦽	有 𡿿 
㦾	户 也 
㦿	户 木 
㧀	户 及 
㧁	户 去 
㧂	户 田 
㧃	扌 丩 
㧄	扌 凵 
㧅	扌 刀 
㧆	扌 巾 
㧇	扌 𠔼 
㧈	扌 弓 
㧉	扌 气 
㧊	扌 巿 
㧋	扌 犬 
㧌	扌 毛 
㧍	扌 方 
㧎	扌 牙 
㧏	扌 冈 
㧒	扌 穴 
㧓	扌 瓜 
㧔	扌 戊 
㧕	扌 卯 
㧖	扌 戹 
㧗	扌 此 
㧘	此 手 
㧙	扌 必 
㧚	扌 瓦 
㧜	扌 匝 
㧡	扌 亥 
㧢	扌 因 
㧣	扌 朱 
㧤	扌 充 
㧥	扌 先 
㧦	扌 旬 
㧨	扌 后 
㧩	扌 𫥞 
㧪	扌 危 
㧫	扌 而 
㧭	邛 手 
㧮	扌 臼 
㧯	扌 老 
㧰	扌 乐 
㧱	合 手 
㧲	扌 宋 
㧳	扮 手 
㧴	扌 我 
㧶	扌 身 
㧷	扌 吞 
㧸	扌 亨 
㨂	扌 東 
㨖	扌 致 
㨙	扌 奚 
㨚	扌 荀 
㨛	扌 閃 
㨜	扌 虔 
㨝	扌 屑 
㨞	扌 素 
㨟	扌 豈 
㨠	扌 冥 
㨡	扌 圂 
㨤	扌 龨 
㨦	扌 隻 
㨧	扌 畚 
㨨	扌 留 
㨩	扌 庭 
㨪	扌 晃 
㨫	扌 监 
㨭	扌 扈 
㨮	扌 兜 
㨯	扌 郭 
㨰	扌 衮 
㨱	扌 䚻 
㨲	扌 艹 宋 
㨳	扌 寄 
㨴	扌 乾 
㨵	扌 剪 
㨶	扌 鳥 
㨷	扌 堇 
㨸	扌 密 
㨹	扌 彗 
㨺	扌 㒼 
㨻	斬 手 
㨼	略 手 
㨽	扌 副 
㨾	扌 羕 
㨿	扌 處 
㩀	扌 䖏 
㩁	扌 寉 
㩃	扌 寒 
㩄	扌 崽 
㩅	扌 畱 
㩆	扌 就 
㩇	扌 畫 
㩈	扌 窘 
㩉	扌 翕 
㩊	扌 𡬳 
㩋	扌 肅 
㩌	扌 費 
㩍	扌 策 
㩎	扌 猒 
㩐	扌 等 
㩓	毀 手 
㩔	扌 殿 
㩖	扌 畺 
㩘	扌 義 
㩙	扌 塞 
㩚	扌 蒙 
㩛	扌 團 
㩜	扌 監 
㩝	扌 豪 
㩞	扌 榮 
㩟	扌 寨 
㩠	扌 麃 
㩡	扌 磊 
㩢	扌 蔑 
㩤	扌 敷 
㩦	扌 隹 冏 
㩨	扌 慧 
㩩	扌 潁 
㩪	扌 䋶 
㩭	扌 學 
㩮	扌 擧 
㩯	扌 繁 
㩰	扌 艹 喿 
㩱	扌 爵 
㩲	扌 雚 
㩳	扌 雙 
㩴	扌 瞿 
㩶	扌 竹 爾 
㩷	扌 騫 
㩸	扌 畾 宐 
㩹	扌 畾 冝 
㩼	多 支 
㩽	束 支 
㩾	垂 支 
㩿	乞 攵 
㪀	于 攵 
㪁	今 攴 
㪂	气 攴 
㪃	可 攴 
㪄	弗 攵 
㪅	丙 攴 
㪆	氐 攴 
㪇	先 攵 
㪈	圭 攴 
㪉	合 攵 
㪊	君 攴 
㪋	旱 攴 
㪌	甬 攴 
㪍	孛 攵 
㪎	夾 攴 
㪏	卑 攴 
㪐	戾 攴 
㪑	奄 攴 
㪒	兒 攴 
㪓	乖 攴 
㪔	林 攴 
㪕	卓 攴 
㪖	录 攴 
㪗	咅 攴 
㪘	㑒 攵 
㪙	果 攵 
㪚	龷 攵 日 
㪛	甚 攴 
㪜	耑 攴 
㪝	柬 攴 
㪞	冒 攴 
㪠	兼 攴 
㪡	害 攴 
㪢	叟 攴 
㪣	高 攵 
㪤	畢 攵 
㪥	虘 攴 
㪦	寅 攵 
㪧	翕 攴 
㪨	善 攴 
㪩	肅 攴 
㪪	䨿 攴 
㪫	睿 攴 
㪬	翟 攴 
㪭	盧 攴 
㪮	霝 攴 
㪯	文 𰀁 
㪱	文 奂 
㪴	元 斗 
㪵	半 斗 
㪶	百 斗 
㪷	豆 斗 
㪹	婁 斗 
㪺	𥇛 斗 
㪻	䜌 斗 
㪼	可 斤 
㪽	一 昕 
㪾	各 斤 
㪿	屮 屮 斤 
㫀	昌 斤 
㫁	𠃊 𢆶 兀 斤 
㫂	庶 斤 
㫃	方 人 
㫄	二 勹 方 
㫅	㫃 亓 
㫊	𭤨 可 
㫍	𭤨 攸 
㫎	方 軍 
㫏	𭤨 要 
㫐	日 匕 
㫑	日 力 
㫒	日 廾 
㫓	日 乞 
㫔	日 上 
㫖	上 日 
㫗	曰 子 
㫘	不 日 
㫙	日 夫 
㫚	勿 曰 
㫛	日 兄 
㫜	日 旦 
㫝	日 氐 
㫟	日 㕣 
㫠	日 半 
㫢	日 去 
㫤	旦 永 
㫥	日 名 
㫦	攸 日 
㫧	日 米 
㫨	日 安 
㫫	日 亚 
㫭	日 寺 
㫯	昌 兀 
㫱	日 赤 
㫲	日 孛 
㫳	辰 日 
㫵	日 非 
㫶	日 帚 
㫷	其 日 
㫸	日 疌 
㫹	日 所 
㫻	日 侖 
㫼	日 制 
㫽	日 录 
㬂	日 禺 
㬃	日 炱 
㬄	日 厂 赤 
㬅	日 ⺫ 万 
㬆	日 昬 
㬇	日 奂 
㬈	日 昷 
㬉	日 耎 
㬋	日 侯 
㬍	日 尃 
㬏	日 鬲 
㬐	日 晋 
㬒	日 莽 
㬓	日 票 
㬔	日 翏 
㬕	日 祥 
㬗	日 然 
㬘	日 肅 
㬙	日 爲 
㬛	日 翕 
㬝	日 曾 
㬞	日 山 曷 
㬟	勿 曾 
㬠	日 煞 
㬡	日 零 
㬢	日 義 
㬣	日 對 
㬤	日 㬎 
㬦	日 蒦 
㬩	日 慧 
㬪	晶 宐 
㬫	燕 日 
㬬	日 瞿 
㬭	日 爵 
㬮	日 難 
㬯	日 羸 
㬰	由 人 
㬱	兟 曰 
㬲	更 益 
㬳	月 午 
㬴	月 共 
㬵	月 交 
㬶	月 告 
㬸	月 花 
㬻	月 荒 
㬼	有 复 
㬿	月 敦 
㭁	木 乃 
㭂	木 小 
㭄	木 卂 
㭇	木 允 
㭈	木 夬 
㭉	艹 木 
㭋	木 丰 
㭌	木 牛 
㭑	木 未 
㭒	木 㠯 
㭓	木 弁 
㭔	木 乎 
㭘	木 合 
㭙	木 寺 
㭛	木 𠂢 
㭜	木 戎 
㭝	林 九 
㭞	木 劣 
㭟	共 木 
㭠	木 先 
㭡	木 囟 
㭢	木 刑 
㭤	木 鸟 
㭨	木 邪 
㭩	木 寽 
㭪	木 甫 
㭫	木 坐 
㭬	木 豕 
㭭	木 別 
㭮	木 𣧄 
㭯	木 耴 
㭰	此 朿 
㭱	木 匣 
㭲	木 谷 
㭴	木 坚 
㭸	木 兔 
㭹	木 弦 
㭺	木 奄 
㭻	木 尚 
㭼	木 沓 
㭽	木 底 
㭾	木 屈 
㭿	木 昂 
㮀	木 函 
㮁	木 肴 
㮂	𰥍 木 
㮃	木 委 
㮄	木 㫄 
㮅	木 隹 
㮆	木 𠆢 羊 
㮇	木 忝 
㮈	木 奈 
㮋	木 郁 
㮌	木 面 
㮏	木 柰 
㮐	木 省 
㮑	木 臿 
㮒	木 垔 
㮓	木 恆 
㮔	木 重 
㮕	木 耎 
㮖	木 革 
㮗	矜 木 
㮘	木 敄 
㮙	木 咢 
㮚	𠧪 木 
㮛	木 是 
㮜	木 匨 
㮝	木 卻 
㮞	木 咨 
㮟	柘 木 
㮡	炬 木 
㮢	木 侯 
㮣	既 木 
㮥	木 畚 
㮦	木 索 
㮧	木 烏 
㮨	木 畟 
㮩	木 息 
㮪	木 𣑦 
㮫	木 害 
㮬	木 翁 
㮭	木 圅 
㮮	木 挈 
㮯	木 圂 
㮰	木 𣬉 
㮱	木 艹 先 
㮲	木 芻 
㮳	木 朕 
㮵	木 旃 
㮶	木 朔 
㮷	木 尤 旨 
㮸	木 送 
㮹	木 致 
㮺	本 𠱠 
㮿	木 畢 
㯀	木 旋 
㯁	木 陪 
㯂	木 帶 
㯃	木 桼 
㯄	林 巵 
㯅	木 庳 
㯆	木 産 
㯇	木 𡌦 
㯈	木 速 
㯉	木 虖 
㯊	木 焉 
㯋	匕 木 頁 
㯌	木 逐 
㯍	木 將 
㯎	木 言 木 
㯏	殸 木 
㯐	隋 木 
㯓	木 翕 
㯔	毳 木 
㯕	木 斯 
㯖	木 𢛳 
㯗	木 閑 
㯘	木 款 
㯙	木 𰕎 
㯚	木 答 
㯛	木 壺 
㯜	木 萃 
㯝	木 路 
㯞	木 絹 
㯟	林 彔 
㯠	木 牽 
㯡	桼 包 
㯢	木 巽 
㯦	木 其 木 
㯩	桑 夷 
㯪	木 零 
㯫	木 豦 
㯬	林 建 
㯭	木 虜 
㯮	木 蜀 
㯰	木 置 
㯲	木 禁 
㯳	木 敬 
㯶	木 𡕰 
㯷	木 僕 
㯸	木 盡 
㯹	木 𡬽 
㯺	𰯲 木 
㯽	木 賔 
㯾	木 遭 
㯿	木 巤 
㰁	木 磊 
㰂	木 審 
㰃	木 緜 
㰄	木 賤 
㰅	木 適 
㰆	𰀉 冖 棐 
㰈	林 連 
㰊	木 燅 
㰋	木 頻 
㰌	木 霍 
㰍	龍 木 
㰎	木 嶲 
㰐	木 隨 
㰑	木 橤 
㰒	木 學 
㰔	木 燮 
㰕	木 羲 
㰖	木 覧 
㰗	木 蹙 
㰘	木 彝 
㰙	木 難 
㰚	木 離 
㰛	木 藥 
㰝	巳 欠 
㰞	山 欠 
㰟	气 欠 
㰠	亢 欠 
